analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,cohens_d,mean_difference,change_difference,active_change_mean,sham_change_mean,p_value_active_vs_zero,p_value_sham_vs_zero
standard,6,Paracingulate gyrus posterior,stimulation,drift_0,0.2394344592983374,0.9966702695995833,0.4243526981944174,0.004386071444803144,,,,,
standard,6,Paracingulate gyrus posterior,stimulation,drift_1,0.6625241247350191,0.9691781481837993,0.1558433461340284,0.0014995444001515066,,,,,
standard,6,Paracingulate gyrus posterior,stimulation,diffusion,0.20387313190673778,1.0,-0.45923081879112426,-0.02023701728242533,,,,,
standard,6,Paracingulate gyrus posterior,recovery,drift_0,0.30218802629794467,1.0,0.37116489325783486,0.0050847454394131394,,,,,
standard,6,Paracingulate gyrus posterior,recovery,drift_1,0.17476687329713136,1.0,0.491428259036906,0.0044332129594797185,,,,,
standard,6,Paracingulate gyrus posterior,recovery,diffusion,0.45713171442434264,1.0,-0.26633738733600376,-0.014532268881412874,,,,,
standard,7,Inferior temporal sulcus anterior RH,baseline,drift_0,0.9177785671272691,1.0,0.03680682617034471,0.0004847651646487372,,,,,
standard,7,Inferior temporal sulcus anterior RH,baseline,drift_1,0.8018908880812377,0.9845758625841575,0.08949656411175536,0.0008225440980934634,,,,,
standard,7,Inferior temporal sulcus anterior RH,baseline,diffusion,0.6044645436776996,0.9566795869025725,-0.18508916936611747,-0.006483749205554973,,,,,
standard,7,Inferior temporal sulcus anterior RH,stimulation,drift_0,0.5061820936992273,0.9854191329810053,0.23789454089621956,0.0034854891286134823,,,,,
standard,7,Inferior temporal sulcus anterior RH,stimulation,drift_1,0.10642385692453252,1.0,0.5884908550652209,0.007099841287156507,,,,,
standard,7,Inferior temporal sulcus anterior RH,stimulation,diffusion,0.9554995532977445,1.0,-0.019894569025097748,-0.0007444722004983084,,,,,
standard,7,Inferior temporal sulcus anterior RH,recovery,drift_0,0.5639218221926892,1.0,-0.20629649964995284,-0.0027675524278107516,,,,,
standard,7,Inferior temporal sulcus anterior RH,recovery,drift_1,0.6284175186754595,0.9961293175289017,-0.1728776367580286,-0.0015749176246637377,,,,,
standard,7,Inferior temporal sulcus anterior RH,recovery,diffusion,0.7352655179732801,1.0,0.12066361705048581,0.006075477679855917,,,,,
standard,8,Parahippocampal gyrus anterior,baseline,drift_0,0.16277301171197284,1.0,-0.5059254030679743,-0.008763538345086835,,,,,
standard,8,Parahippocampal gyrus anterior,baseline,drift_1,0.9977414851276936,0.9996940124958495,0.0010091528719002535,1.2259376760918395e-05,,,,,
standard,8,Parahippocampal gyrus anterior,baseline,diffusion,0.748475095843709,0.9726376879999467,-0.1144150296826144,-0.004264909544734338,,,,,
standard,8,Parahippocampal gyrus anterior,stimulation,drift_0,0.8940793683891719,1.0,0.04747452704923718,0.0008020192661155473,,,,,
standard,8,Parahippocampal gyrus anterior,stimulation,drift_1,0.6186793659273714,0.9852685392062649,-0.17781596711333464,-0.002229839773608657,,,,,
standard,8,Parahippocampal gyrus anterior,stimulation,diffusion,0.3551878090660132,1.0,-0.33201615849052285,-0.012558782175444982,,,,,
standard,8,Parahippocampal gyrus anterior,recovery,drift_0,0.5329529692356276,1.0,-0.2230186799601332,-0.002936723056670962,,,,,
standard,8,Parahippocampal gyrus anterior,recovery,drift_1,0.4019090009783408,1.0,0.3006166758756564,0.003312239633670757,,,,,
standard,8,Parahippocampal gyrus anterior,recovery,diffusion,0.008147913310735066,1.0,1.0019196647887056,0.031631544855815,,,,,
standard,9,Calcarine cortex mid-posterior RH,baseline,drift_0,0.6529632647792949,1.0,0.16057939433827872,0.0019652905638087373,,,,,
standard,9,Calcarine cortex mid-posterior RH,baseline,drift_1,0.8322455009108121,0.9909527824798506,-0.07554578723164375,-0.0009381173572354808,,,,,
standard,9,Calcarine cortex mid-posterior RH,baseline,diffusion,0.8539739036761081,0.9881008783777794,0.06563486233833378,0.004458531437232224,,,,,
standard,9,Calcarine cortex mid-posterior RH,stimulation,drift_0,0.2543269230084238,0.9435897433356013,-0.410890916914385,-0.003929829761015205,,,,,
