roi_idx,roi_label,comparison,component,active_mean,active_std,sham_mean,sham_std,t_statistic,p_value,cohens_d,n_subjects
250,Caudate posterior ,stimulation_minus_baseline,free_energy_change,-0.33354494660050693,0.45677500699373913,-0.3138425508017597,0.33007888644164846,-0.16640029266059947,0.8700642053598826,-0.04944209694556587,16
250,Caudate posterior ,stimulation_minus_baseline,potential_energy_change,-0.12665264442184448,0.20102187839290467,-0.08073969366866957,0.157338757416165,-1.0036502097976858,0.3314640458403365,-0.25435604851815985,16
250,Caudate posterior ,stimulation_minus_baseline,entropy_change,-0.20689230217866242,0.31246713147293786,-0.23310285713309012,0.20021795603926093,0.29217991224903206,0.7741514716255247,0.09988219424209206,16
250,Caudate posterior ,recovery_minus_baseline,free_energy_change,-0.264124382899374,0.49258099099257957,-0.31136190068700786,0.39619886656991815,0.36790479597065945,0.718083993352209,0.10567788762248005,16
250,Caudate posterior ,recovery_minus_baseline,potential_energy_change,-0.10236751407050955,0.2258145564536299,-0.0908925812643537,0.1607566595468989,-0.23427013235423477,0.8179428197555578,-0.058544464015416554,16
250,Caudate posterior ,recovery_minus_baseline,entropy_change,-0.16175686882886436,0.3121293386702797,-0.22046931942265416,0.2556212774159666,0.6394899206996256,0.5321499824328817,0.20580791712523852,16
251,Cerebellum Crus I LH,stimulation_minus_baseline,free_energy_change,-0.005698263375108564,0.15971942300638245,-0.007536338790456287,0.19885851775748867,0.026600832559709863,0.9791287839400513,0.010191496733555969,16
251,Cerebellum Crus I LH,stimulation_minus_baseline,potential_energy_change,0.01633341027659488,0.08301512600812332,-0.02020760036842515,0.07200728968597188,1.2726410228015212,0.2225187497311517,0.4702447055021239,16
251,Cerebellum Crus I LH,stimulation_minus_baseline,entropy_change,-0.0220316736517035,0.12400970978069623,0.012671261577968884,0.16474095263982583,-0.644276880034712,0.5291257057954883,-0.2380098040712811,16
251,Cerebellum Crus I LH,recovery_minus_baseline,free_energy_change,0.013733233038668524,0.20755682012993967,-0.03643143564661416,0.16448211763219248,0.7619718923620766,0.4578911743193991,0.26788476817737134,16
