roi_idx,condition,period,free_energy_change
132,sham,stimulation,0.012525166019352163
133,active,stimulation,0.03922256847155392
133,sham,stimulation,-0.02079748914502133
134,active,stimulation,0.09315278403313343
134,sham,stimulation,-0.021688536475848785
135,active,stimulation,0.00027118718511598416
135,sham,stimulation,-0.006781038598235867
136,active,stimulation,-0.05243468329849499
136,sham,stimulation,-0.008516696528586998
137,active,stimulation,-0.000817735195952185
137,sham,stimulation,-0.055890469430716294
138,active,stimulation,0.01892479788996848
138,sham,stimulation,0.011779039269682379
139,active,stimulation,-0.04702216507755841
139,sham,stimulation,-0.00931547817670797
140,active,stimulation,0.010686305628866855
140,sham,stimulation,0.0037365442523125125
141,active,stimulation,-0.046193757478766084
141,sham,stimulation,0.06944193174821045
142,active,stimulation,0.012886661041694225
142,sham,stimulation,-0.03245564989760874
143,active,stimulation,0.015000011015206649
143,sham,stimulation,-0.05960475376927743
144,active,stimulation,-0.0016147997165223416
144,sham,stimulation,-0.11743721765536508
145,active,stimulation,-0.08504431749568209
145,sham,stimulation,-0.021543990542228997
146,active,stimulation,-0.034059283229028736
146,sham,stimulation,0.011995531299943352
147,active,stimulation,-0.017537119120239364
147,sham,stimulation,-0.05112163805171788
148,active,stimulation,-0.036663965754357264
148,sham,stimulation,0.002315978822674758
149,active,stimulation,-0.0010994914219395469
149,sham,stimulation,-0.11848416397495631
150,active,stimulation,-0.04758655667116285
150,sham,stimulation,-0.07967142864079335
151,active,stimulation,0.018948681464206807
151,sham,stimulation,0.005588164796011874
152,active,stimulation,-0.0150945861864904
152,sham,stimulation,0.020914283042901438
153,active,stimulation,-0.12734536981511413
153,sham,stimulation,-0.02911967575081542
154,active,stimulation,-0.10062696432706097
154,sham,stimulation,0.03140500094932053
155,active,stimulation,0.009444236326287658
155,sham,stimulation,-0.06161123670810431
156,active,stimulation,-0.05984442033701676
156,sham,stimulation,0.006733229883932879
157,active,stimulation,-0.08266243353062652
157,sham,stimulation,0.018860497469877835
158,active,stimulation,-0.027948350757164953
158,sham,stimulation,0.0118786521490728
159,active,stimulation,0.0066349465206423375
159,sham,stimulation,0.033726576395775254
160,active,stimulation,-0.038494138093014385
160,sham,stimulation,0.060488394783623
161,active,stimulation,-0.08955664724091239
161,sham,stimulation,-0.05273839377944167
162,active,stimulation,-0.03037594541079569
162,sham,stimulation,-0.08320889340486826
163,active,stimulation,0.016820399570209865
163,sham,stimulation,-0.028596358008342815
164,active,stimulation,-0.0678701806112132
164,sham,stimulation,-0.07348144673816748
165,active,stimulation,0.038810582999744714
165,sham,stimulation,-0.045955679368915536
166,active,stimulation,-0.04823881620389603
166,sham,stimulation,-0.028186441079921742
167,active,stimulation,-0.02649026468826765
167,sham,stimulation,-0.05704965830326625
168,active,stimulation,0.005010438759188496
168,sham,stimulation,0.044832028223428466
169,active,stimulation,0.0015800236249523536
169,sham,stimulation,0.004165253784901957
170,active,stimulation,0.02437422719977622
170,sham,stimulation,-0.02852980867908128
171,active,stimulation,-0.019442899307596573
171,sham,stimulation,0.045726622483326373
172,active,stimulation,-0.031550275677897144
172,sham,stimulation,-0.007271328967923374
173,active,stimulation,-0.005225973559747743
173,sham,stimulation,-0.03128249449977938
174,active,stimulation,0.023501806851871976
174,sham,stimulation,-0.12521369270975535
175,active,stimulation,0.016573068182154316
175,sham,stimulation,-0.11697292082419697
176,active,stimulation,0.04587594454854882
176,sham,stimulation,-0.03130797897003346
177,active,stimulation,-0.009153981213630757
177,sham,stimulation,-0.008391819182961058
178,active,stimulation,-0.028527421031036226
178,sham,stimulation,0.03670818185145075
179,active,stimulation,-0.2479545777437755
179,sham,stimulation,0.009535682173582583
180,active,stimulation,-0.023651311225175498
180,sham,stimulation,-0.04313812209138401
181,active,stimulation,-0.004047948592058148
181,sham,stimulation,-0.029458291717135765
182,active,stimulation,-0.01050548937584761
182,sham,stimulation,0.029701791089754348
183,active,stimulation,-0.004749995836106358
183,sham,stimulation,0.0033513653530836685
184,active,stimulation,-0.026042470666645556
184,sham,stimulation,0.008233144982598084
185,active,stimulation,-0.06199505349305667
185,sham,stimulation,0.0038335426968387765
186,active,stimulation,-0.031652776964994356
186,sham,stimulation,-0.024764308164297866
187,active,stimulation,0.019556887123004074
187,sham,stimulation,-0.04512031960260554
188,active,stimulation,-0.019539475039157317
188,sham,stimulation,-0.08187048989654411
189,active,stimulation,-0.13825955889561614
189,sham,stimulation,0.033528851585939545
190,active,stimulation,0.00746796050126175
190,sham,stimulation,-0.05371752193653467
191,active,stimulation,-0.020454821924783317
191,sham,stimulation,-0.03460518973443216
192,active,stimulation,-0.11735546686381682
192,sham,stimulation,-0.09982382796414369
193,active,stimulation,-0.016396168722986104
193,sham,stimulation,0.015811651780315295
194,active,stimulation,-0.013658050227573604
194,sham,stimulation,0.04975221396207541
195,active,stimulation,-0.34073179149935706
